Name,Timestamp,Time Delay,Number Entered
Pranay,2025-08-02 18:53:07,90.29,3
Pranay,2025-08-02 18:53:09,1.67,3
Pranay,2025-08-02 18:53:10,1.11,9
Pranay,2025-08-02 18:53:14,3.97,0
Pranay,2025-08-02 18:53:15,1.22,8
Pranay,2025-08-02 18:53:17,1.57,9
Pranay,2025-08-02 18:53:18,1.4,4
Pranay,2025-08-02 18:53:20,1.63,2
Pranay,2025-08-02 18:53:25,4.99,4
Pranay,2025-08-02 18:53:26,1.22,6
Pranay,2025-08-02 18:53:27,1.25,5
Pranay,2025-08-02 18:53:31,3.67,0
Pranay,2025-08-02 18:53:32,1.11,9
Pranay,2025-08-02 18:53:34,1.84,8
Pranay,2025-08-02 18:53:36,1.77,1
Pranay,2025-08-02 18:53:37,1.47,2
Pranay,2025-08-02 18:53:39,1.6,1
Pranay,2025-08-02 18:53:40,1.43,5
Pranay,2025-08-02 18:53:42,1.6,5
Pranay,2025-08-02 18:53:43,1.32,6
Pranay,2025-08-02 18:53:45,1.83,2
Pranay,2025-08-02 18:53:47,1.93,8
Pranay,2025-08-02 18:53:49,1.94,2
Pranay,2025-08-02 18:53:50,1.29,3
Pranay,2025-08-02 18:53:51,1.4,7
Pranay,2025-08-02 18:53:53,1.55,9
Pranay,2025-08-02 18:53:57,4.44,0
Pranay,2025-08-02 18:54:03,5.67,1
Pranay,2025-08-02 18:54:05,2.12,3
Pranay,2025-08-02 18:54:07,1.37,9
Pranay,2025-08-02 18:54:09,1.97,5
Pranay,2025-08-02 18:54:10,1.83,3
Pranay,2025-08-02 18:55:50,99.81,4
Pranay,2025-08-02 18:55:52,1.48,2
Pranay,2025-08-02 18:55:53,1.3,0
Pranay,2025-08-02 18:55:54,1.16,8
Pranay,2025-08-02 18:55:56,2.03,1
Pranay,2025-08-02 18:55:59,3.06,4
Pranay,2025-08-02 18:56:01,1.37,5
Pranay,2025-08-02 18:56:02,1.33,2
Pranay,2025-08-02 18:56:03,0.88,0
Pranay,2025-08-02 18:56:05,1.89,3
Pranay,2025-08-02 18:56:08,3.66,8
Pranay,2025-08-02 18:56:12,3.14,4
Pranay,2025-08-02 18:56:13,1.1,9
Pranay,2025-08-02 18:56:14,1.31,2
Pranay,2025-08-02 18:56:16,1.74,0
Pranay,2025-08-02 18:56:46,30.32,5
Pranay,2025-08-02 18:56:47,0.97,0
Pranay,2025-08-02 18:56:48,1.04,4
Pranay,2025-08-02 18:56:49,1.1,3
Pranay,2025-08-02 18:56:51,1.41,2
Pranay,2025-08-02 18:56:54,3.37,6
Pranay,2025-08-02 18:56:55,1.06,4
Pranay,2025-08-02 18:56:56,1.04,3
Pranay,2025-08-02 18:56:59,2.73,9
Pranay,2025-08-02 18:57:00,1.44,0
Pranay,2025-08-02 18:57:01,1.1,4
Pranay,2025-08-02 18:57:02,1.16,1
Pranay,2025-08-02 18:57:04,1.13,2
Pranay,2025-08-02 18:57:07,3.36,9
Pranay,2025-08-02 18:57:09,1.63,7
Pranay,2025-08-02 18:57:10,1.51,0
Pranay,2025-08-02 18:57:11,1.35,5
Pranay,2025-08-02 18:57:13,1.56,6
Pranay,2025-08-02 18:57:15,1.66,6
Pranay,2025-08-02 18:57:16,1.8,3
Pranay,2025-08-02 18:57:18,1.31,5
Pranay,2025-08-02 18:57:19,1.27,2
Pranay,2025-08-02 18:57:20,1.4,1
Pranay,2025-08-02 18:57:22,1.25,8
Pranay,2025-08-02 18:57:24,1.93,3
Pranay,2025-08-02 18:57:25,1.44,9
Pranay,2025-08-02 18:57:26,1.37,4
Pranay,2025-08-02 18:57:27,0.98,0
Pranay,2025-08-02 18:57:29,1.63,2
Pranay,2025-08-02 18:57:30,1.49,6
Pranay,2025-08-02 18:57:32,1.01,6
Pranay,2025-08-02 18:57:33,1.16,4
Pranay,2025-08-02 18:57:41,8.36,0
Pranay,2025-08-02 18:57:42,1.43,7
Pranay,2025-08-02 18:57:44,1.17,3
Pranay,2025-08-02 18:57:45,1.31,3
Pranay,2025-08-02 18:57:46,1.04,5
Pranay,2025-08-02 18:57:50,3.63,9
Pranay,2025-08-02 18:57:50,0.89,0
Pranay,2025-08-02 18:57:52,1.2,3
Pranay,2025-08-02 18:57:53,1.21,2
Pranay,2025-08-02 18:57:55,1.75,7
Pranay,2025-08-02 18:57:56,1.1,4
Pranay,2025-08-02 18:57:57,1.65,6
Pranay,2025-08-02 18:58:00,3.05,7
Pranay,2025-08-02 18:58:04,3.46,3
Pranay,2025-08-02 18:58:05,1.51,1
Pranay,2025-08-02 18:58:07,1.2,2
Pranay,2025-08-02 18:58:08,1.15,6
Pranay,2025-08-02 18:58:09,1.23,4
Pranay,2025-08-02 18:58:10,1.17,9
Pranay,2025-08-02 18:58:12,1.52,4
Pranay,2025-08-02 18:58:13,1.09,6
Pranay,2025-08-02 18:58:14,1.08,5
Pranay,2025-08-02 18:58:15,1.08,0
Pranay,2025-08-02 18:58:17,1.94,1
